date,state,industry,unemployed_thousands
1995Q3,Victoria,Manufacturing,20.89328806
1995Q3,Victoria,"Professional, Scientific and Technical Services",4.24002741
1995Q4,New South Wales,Accommodation and Food Services,10.90767719
1995Q4,New South Wales,Construction,14.91471605
1995Q4,New South Wales,Education and Training,4.82483599
1995Q4,New South Wales,Health Care and Social Assistance,7.30325382
1995Q4,New South Wales,Manufacturing,13.224978290000001
1995Q4,New South Wales,"Professional, Scientific and Technical Services",2.31738088
1995Q4,Queensland,Accommodation and Food Services,7.023854589999999
1995Q4,Queensland,Construction,12.118495990000001
1995Q4,Queensland,Education and Training,2.51024378
1995Q4,Queensland,Health Care and Social Assistance,2.71349257
1995Q4,Queensland,Manufacturing,16.13628546
1995Q4,Queensland,"Professional, Scientific and Technical Services",1.432318
1995Q4,Victoria,Accommodation and Food Services,8.221429930000001
1995Q4,Victoria,Construction,7.61435562
1995Q4,Victoria,Education and Training,3.8292891300000003
1995Q4,Victoria,Health Care and Social Assistance,3.6764955400000003
1995Q4,Victoria,Manufacturing,20.3045038
1995Q4,Victoria,"Professional, Scientific and Technical Services",4.33056231
1996Q1,New South Wales,Accommodation and Food Services,9.9869313
1996Q1,New South Wales,Construction,13.8776923
1996Q1,New South Wales,Education and Training,4.945417
1996Q1,New South Wales,Health Care and Social Assistance,6.9287547
1996Q1,New South Wales,Manufacturing,19.35666051
1996Q1,New South Wales,"Professional, Scientific and Technical Services",4.40273668
1996Q1,Queensland,Accommodation and Food Services,7.98973343
1996Q1,Queensland,Construction,11.164533149999999
1996Q1,Queensland,Education and Training,4.4996501900000005
1996Q1,Queensland,Health Care and Social Assistance,7.095647380000001
1996Q1,Queensland,Manufacturing,13.41796489
1996Q1,Queensland,"Professional, Scientific and Technical Services",3.09895221
1996Q1,Victoria,Accommodation and Food Services,7.750009260000001
1996Q1,Victoria,Construction,8.38732536
1996Q1,Victoria,Education and Training,4.81926974
1996Q1,Victoria,Health Care and Social Assistance,2.5051922600000003
1996Q1,Victoria,Manufacturing,26.42312443
1996Q1,Victoria,"Professional, Scientific and Technical Services",3.89900344
1996Q2,New South Wales,Accommodation and Food Services,9.3968344
1996Q2,New South Wales,Construction,8.27582186
1996Q2,New South Wales,Education and Training,3.16156229
1996Q2,New South Wales,Health Care and Social Assistance,4.95265911
1996Q2,New South Wales,Manufacturing,19.811175600000002
1996Q2,New South Wales,"Professional, Scientific and Technical Services",6.37276494
1996Q2,Queensland,Accommodation and Food Services,7.986910610000001
1996Q2,Queensland,Construction,12.38641957
1996Q2,Queensland,Education and Training,3.4887601
1996Q2,Queensland,Health Care and Social Assistance,4.699054449999999
1996Q2,Queensland,Manufacturing,17.41280605
1996Q2,Queensland,"Professional, Scientific and Technical Services",3.5834552499999996
1996Q2,Victoria,Accommodation and Food Services,7.826052150000001
1996Q2,Victoria,Construction,8.39345294
1996Q2,Victoria,Education and Training,3.08707281
1996Q2,Victoria,Health Care and Social Assistance,2.62804187
1996Q2,Victoria,Manufacturing,23.67478978
1996Q2,Victoria,"Professional, Scientific and Technical Services",5.63020801
1996Q3,New South Wales,Accommodation and Food Services,10.08577599
1996Q3,New South Wales,Construction,12.95919924
1996Q3,New South Wales,Education and Training,2.4373631
1996Q3,New South Wales,Health Care and Social Assistance,7.9917584999999995
1996Q3,New South Wales,Manufacturing,22.90798731
1996Q3,New South Wales,"Professional, Scientific and Technical Services",5.60982484
1996Q3,Queensland,Accommodation and Food Services,10.33374729
1996Q3,Queensland,Construction,13.71332054
1996Q3,Queensland,Education and Training,4.01662406
1996Q3,Queensland,Health Care and Social Assistance,3.97424688
1996Q3,Queensland,Manufacturing,13.81004836
1996Q3,Queensland,"Professional, Scientific and Technical Services",2.32193714
1996Q3,Victoria,Accommodation and Food Services,6.7761172
1996Q3,Victoria,Construction,7.74023718
1996Q3,Victoria,Education and Training,5.05013457
1996Q3,Victoria,Health Care and Social Assistance,5.14196463
1996Q3,Victoria,Manufacturing,21.98835232
1996Q3,Victoria,"Professional, Scientific and Technical Services",3.90868084
1996Q4,New South Wales,Accommodation and Food Services,11.77423356
1996Q4,New South Wales,Construction,9.06719915
1996Q4,New South Wales,Education and Training,2.23364151
1996Q4,New South Wales,Health Care and Social Assistance,6.73572492
1996Q4,New South Wales,Manufacturing,15.74449704
1996Q4,New South Wales,"Professional, Scientific and Technical Services",4.08470225
1996Q4,Queensland,Accommodation and Food Services,8.1030582
1996Q4,Queensland,Construction,12.257367389999999
1996Q4,Queensland,Education and Training,2.5264626800000003
1996Q4,Queensland,Health Care and Social Assistance,4.36100403
1996Q4,Queensland,Manufacturing,12.8058854
1996Q4,Queensland,"Professional, Scientific and Technical Services",2.27226237
1996Q4,Victoria,Accommodation and Food Services,6.86237116
1996Q4,Victoria,Construction,7.88023338
1996Q4,Victoria,Education and Training,3.8418745899999998
1996Q4,Victoria,Health Care and Social Assistance,5.08397293
1996Q4,Victoria,Manufacturing,24.226293419999998
1996Q4,Victoria,"Professional, Scientific and Technical Services",4.41404377
1997Q1,New South Wales,Accommodation and Food Services,13.75927266
1997Q1,New South Wales,Construction,11.966356229999999
1997Q1,New South Wales,Education and Training,6.35263054
1997Q1,New South Wales,Health Care and Social Assistance,9.81809951
1997Q1,New South Wales,Manufacturing,21.87419493
1997Q1,New South Wales,"Professional, Scientific and Technical Services",5.16337911
1997Q1,Queensland,Accommodation and Food Services,13.39145947
1997Q1,Queensland,Construction,13.413260059999999
1997Q1,Queensland,Education and Training,4.71522415
1997Q1,Queensland,Health Care and Social Assistance,3.43888761
1997Q1,Queensland,Manufacturing,14.12448147
1997Q1,Queensland,"Professional, Scientific and Technical Services",3.4162424600000003
1997Q1,Victoria,Accommodation and Food Services,9.60134028
1997Q1,Victoria,Construction,7.5695464900000005
1997Q1,Victoria,Education and Training,6.24274368
1997Q1,Victoria,Health Care and Social Assistance,2.55361089
1997Q1,Victoria,Manufacturing,22.95578303
1997Q1,Victoria,"Professional, Scientific and Technical Services",5.63669447
1997Q2,New South Wales,Accommodation and Food Services,16.52970042
1997Q2,New South Wales,Construction,10.94220708
1997Q2,New South Wales,Education and Training,6.4175868
1997Q2,New South Wales,Health Care and Social Assistance,7.57230113
1997Q2,New South Wales,Manufacturing,17.46988279
1997Q2,New South Wales,"Professional, Scientific and Technical Services",6.3868656
1997Q2,Queensland,Accommodation and Food Services,12.04644262
1997Q2,Queensland,Construction,12.74081336
1997Q2,Queensland,Education and Training,3.39311876
1997Q2,Queensland,Health Care and Social Assistance,4.72744624
1997Q2,Queensland,Manufacturing,14.6934817
1997Q2,Queensland,"Professional, Scientific and Technical Services",4.87442084
1997Q2,Victoria,Accommodation and Food Services,7.42473013
1997Q2,Victoria,Construction,8.59262563
1997Q2,Victoria,Education and Training,4.5520195900000004
1997Q2,Victoria,Health Care and Social Assistance,5.41172989
1997Q2,Victoria,Manufacturing,23.85499804
1997Q2,Victoria,"Professional, Scientific and Technical Services",4.25124578
1997Q3,New South Wales,Accommodation and Food Services,10.39850695
1997Q3,New South Wales,Construction,7.45088733
1997Q3,New South Wales,Education and Training,3.88823587
1997Q3,New South Wales,Health Care and Social Assistance,6.51247536
1997Q3,New South Wales,Manufacturing,19.33050175
1997Q3,New South Wales,"Professional, Scientific and Technical Services",4.52127871
1997Q3,Queensland,Accommodation and Food Services,9.66458922
1997Q3,Queensland,Construction,9.50324552
1997Q3,Queensland,Education and Training,1.33834602
1997Q3,Queensland,Health Care and Social Assistance,4.35315285
1997Q3,Queensland,Manufacturing,10.37182789
1997Q3,Queensland,"Professional, Scientific and Technical Services",2.84650139
1997Q3,Victoria,Accommodation and Food Services,10.41439948
1997Q3,Victoria,Construction,6.85989057
1997Q3,Victoria,Education and Training,3.01991948
1997Q3,Victoria,Health Care and Social Assistance,3.49049865
1997Q3,Victoria,Manufacturing,23.304430829999998
1997Q3,Victoria,"Professional, Scientific and Technical Services",3.835269
1997Q4,New South Wales,Accommodation and Food Services,8.90345766
1997Q4,New South Wales,Construction,9.80947482
1997Q4,New South Wales,Education and Training,2.02166765
1997Q4,New South Wales,Health Care and Social Assistance,6.02948975
1997Q4,New South Wales,Manufacturing,18.44958698
1997Q4,New South Wales,"Professional, Scientific and Technical Services",2.27077921
1997Q4,Queensland,Accommodation and Food Services,10.09001353
1997Q4,Queensland,Construction,5.56356304
1997Q4,Queensland,Education and Training,2.63138324
1997Q4,Queensland,Health Care and Social Assistance,4.84551743
1997Q4,Queensland,Manufacturing,13.61615885
1997Q4,Queensland,"Professional, Scientific and Technical Services",1.93030576
1997Q4,Victoria,Accommodation and Food Services,5.60574979
1997Q4,Victoria,Construction,5.37433082
1997Q4,Victoria,Education and Training,1.82259016
1997Q4,Victoria,Health Care and Social Assistance,2.8650524899999996
1997Q4,Victoria,Manufacturing,19.05792213
1997Q4,Victoria,"Professional, Scientific and Technical Services",1.28728589
1998Q1,New South Wales,Accommodation and Food Services,9.08864454
1998Q1,New South Wales,Construction,12.58849756
1998Q1,New South Wales,Education and Training,3.2950805599999997
1998Q1,New South Wales,Health Care and Social Assistance,4.31184292
1998Q1,New South Wales,Manufacturing,22.98490915
1998Q1,New South Wales,"Professional, Scientific and Technical Services",4.00709885
1998Q1,Queensland,Accommodation and Food Services,7.87419522
1998Q1,Queensland,Construction,8.22121345
1998Q1,Queensland,Education and Training,3.76521412
