date,state,industry,employed_thousands
2006Q2,Victoria,Accommodation and Food Services,112.96948495
2006Q2,Victoria,Construction,210.48933970000002
2006Q2,Victoria,Education and Training,180.69219424000002
2006Q2,Victoria,Health Care and Social Assistance,284.26417833
2006Q2,Victoria,Manufacturing,314.3474331
2006Q2,Victoria,"Professional, Scientific and Technical Services",192.04814601
2006Q3,New South Wales,Accommodation and Food Services,169.95189566
2006Q3,New South Wales,Construction,270.75875446000003
2006Q3,New South Wales,Education and Training,218.01659432000002
2006Q3,New South Wales,Health Care and Social Assistance,318.50046686
2006Q3,New South Wales,Manufacturing,284.84489779
2006Q3,New South Wales,"Professional, Scientific and Technical Services",259.70708035
2006Q3,Queensland,Accommodation and Food Services,117.80885144999999
2006Q3,Queensland,Construction,210.04253193
2006Q3,Queensland,Education and Training,141.9195023
2006Q3,Queensland,Health Care and Social Assistance,207.57473672
2006Q3,Queensland,Manufacturing,187.97833608
2006Q3,Queensland,"Professional, Scientific and Technical Services",136.81491084
2006Q3,Victoria,Accommodation and Food Services,115.77407084000001
2006Q3,Victoria,Construction,219.71122071
2006Q3,Victoria,Education and Training,188.42513931
2006Q3,Victoria,Health Care and Social Assistance,282.28738423
2006Q3,Victoria,Manufacturing,305.28418542000003
2006Q3,Victoria,"Professional, Scientific and Technical Services",196.45417498
2006Q4,New South Wales,Accommodation and Food Services,161.30685936
2006Q4,New South Wales,Construction,287.96476118
2006Q4,New South Wales,Education and Training,231.28002683
2006Q4,New South Wales,Health Care and Social Assistance,339.92861529000004
2006Q4,New South Wales,Manufacturing,294.11134467
2006Q4,New South Wales,"Professional, Scientific and Technical Services",270.28082442
2006Q4,Queensland,Accommodation and Food Services,118.89626235
2006Q4,Queensland,Construction,223.54673924
2006Q4,Queensland,Education and Training,142.94905367
2006Q4,Queensland,Health Care and Social Assistance,205.31433624000002
2006Q4,Queensland,Manufacturing,185.28758868
2006Q4,Queensland,"Professional, Scientific and Technical Services",129.17762965
2006Q4,Victoria,Accommodation and Food Services,125.20256438
2006Q4,Victoria,Construction,230.79705426
2006Q4,Victoria,Education and Training,196.47627235000002
2006Q4,Victoria,Health Care and Social Assistance,271.44209265
2006Q4,Victoria,Manufacturing,305.19043059
2006Q4,Victoria,"Professional, Scientific and Technical Services",186.29819708
2007Q1,New South Wales,Accommodation and Food Services,176.41653265
2007Q1,New South Wales,Construction,287.21412689
2007Q1,New South Wales,Education and Training,225.96906947
2007Q1,New South Wales,Health Care and Social Assistance,343.04124393
2007Q1,New South Wales,Manufacturing,301.25389726
2007Q1,New South Wales,"Professional, Scientific and Technical Services",248.74524922
